record_date,unit_price_calculated,weight_grams,moving_average
2020-09-27,17.142857142857142,840.0,17.142857142857142
2020-09-27,17.142857142857142,840.0,17.142857142857142
2020-11-05,15.428571428571427,840.0,16.57142857142857
2020-11-05,15.428571428571427,840.0,16.285714285714285
2020-11-06,15.428571428571427,840.0,16.114285714285714
2020-11-06,15.428571428571427,840.0,16.0
2020-11-12,15.428571428571427,840.0,15.918367346938775
2020-11-12,15.428571428571427,840.0,15.857142857142856
2020-11-13,15.428571428571427,840.0,15.809523809523808
2020-11-13,15.428571428571427,840.0,15.771428571428569
2020-11-18,17.142857142857142,840.0,15.771428571428569
2020-11-18,17.142857142857142,840.0,15.771428571428569
2020-12-05,15.428571428571427,840.0,15.771428571428569
2020-12-05,15.428571428571427,840.0,15.771428571428569
2021-01-01,15.357142857142858,840.0,15.764285714285714
2021-01-01,15.357142857142858,840.0,15.757142857142856
2021-01-07,15.357142857142858,840.0,15.75
2021-01-07,15.357142857142858,840.0,15.742857142857142
2021-01-22,15.357142857142858,840.0,15.735714285714286
2021-01-22,15.357142857142858,840.0,15.728571428571428
2021-02-28,15.95238095238095,840.0,15.609523809523811
2021-02-28,15.95238095238095,840.0,15.49047619047619
2021-05-02,15.476190476190476,840.0,15.495238095238097
2021-05-02,15.476190476190476,840.0,15.5
2021-05-24,15.95238095238095,840.0,15.55952380952381
2021-05-24,15.95238095238095,840.0,15.619047619047617
2021-06-25,15.95238095238095,840.0,15.678571428571427
2021-06-25,15.95238095238095,840.0,15.738095238095237
2021-07-10,15.476190476190476,840.0,15.75
2021-07-10,15.476190476190476,840.0,15.761904761904763
2021-07-13,19.28571428571429,840.0,16.095238095238095
2021-07-13,19.28571428571429,840.0,16.428571428571427
2021-07-21,19.28571428571429,840.0,16.80952380952381
2021-07-21,19.28571428571429,840.0,17.19047619047619
2021-08-08,19.28571428571429,840.0,17.523809523809526
2021-08-08,19.28571428571429,840.0,17.857142857142858
2021-08-18,15.476190476190476,840.0,17.80952380952381
2021-08-18,15.476190476190476,840.0,17.761904761904766
2021-08-24,16.19047619047619,840.0,17.833333333333336
2021-08-24,16.19047619047619,840.0,17.904761904761905
2021-10-24,15.714285714285714,840.0,17.547619047619047
2021-10-24,15.714285714285714,840.0,17.190476190476193
2021-10-28,15.714285714285714,840.0,16.833333333333336
2021-10-28,15.714285714285714,840.0,16.476190476190474
2021-12-11,16.428571428571427,840.0,16.19047619047619
2021-12-11,16.428571428571427,840.0,15.904761904761903
2021-12-30,16.428571428571427,840.0,16.0
2021-12-30,16.428571428571427,840.0,16.095238095238095
2022-01-05,16.19047619047619,840.0,16.095238095238095
2022-01-05,16.19047619047619,840.0,16.095238095238095
2022-01-29,16.428571428571427,840.0,16.166666666666664
2022-01-29,16.428571428571427,840.0,16.238095238095237
2022-02-04,16.428571428571427,840.0,16.309523809523807
2022-02-04,16.428571428571427,840.0,16.38095238095238
2022-02-05,16.428571428571427,840.0,16.38095238095238
2022-02-05,16.428571428571427,840.0,16.38095238095238
2022-02-11,16.428571428571427,840.0,16.38095238095238
2022-02-11,16.428571428571427,840.0,16.38095238095238
2022-03-15,16.428571428571427,840.0,16.404761904761905
2022-03-15,16.428571428571427,840.0,16.428571428571427
2022-03-16,16.428571428571427,840.0,16.428571428571427
2022-03-16,16.428571428571427,840.0,16.428571428571427
2022-03-17,16.428571428571427,840.0,16.428571428571427
2022-03-17,16.428571428571427,840.0,16.428571428571427
2022-04-05,16.19047619047619,840.0,16.404761904761905
2022-04-05,16.19047619047619,840.0,16.38095238095238
2022-04-25,17.142857142857142,840.0,16.452380952380953
2022-04-25,17.142857142857142,840.0,16.523809523809526
2022-04-27,17.142857142857142,840.0,16.595238095238095
2022-04-27,17.142857142857142,840.0,16.666666666666664
2022-04-28,17.142857142857142,840.0,16.738095238095237
2022-04-28,17.142857142857142,840.0,16.809523809523807
2022-05-03,16.19047619047619,840.0,16.785714285714285
2022-05-03,16.19047619047619,840.0,16.761904761904763
2022-05-07,16.666666666666664,840.0,16.809523809523807
2022-05-07,16.666666666666664,840.0,16.857142857142854
2022-05-08,16.666666666666664,840.0,16.809523809523807
2022-05-08,16.666666666666664,840.0,16.76190476190476
2022-05-13,17.142857142857142,840.0,16.76190476190476
2022-05-13,17.142857142857142,840.0,16.76190476190476
2022-05-25,17.142857142857142,840.0,16.76190476190476
2022-05-25,17.142857142857142,840.0,16.76190476190476
2022-06-04,17.142857142857142,840.0,16.857142857142854
2022-06-04,17.142857142857142,840.0,16.952380952380953
2022-06-07,17.142857142857142,840.0,17.0
2022-06-07,17.142857142857142,840.0,17.047619047619047
2022-07-14,19.047619047619047,840.0,17.285714285714285
2022-07-14,19.047619047619047,840.0,17.523809523809526
2022-07-17,19.047619047619047,840.0,17.714285714285715
2022-07-17,19.047619047619047,840.0,17.904761904761905
2022-07-19,19.047619047619047,840.0,18.095238095238095
2022-07-19,19.047619047619047,840.0,18.285714285714285
2022-08-20,19.047619047619047,840.0,18.476190476190474
2022-08-20,19.047619047619047,840.0,18.666666666666664
2022-08-21,19.047619047619047,840.0,18.857142857142854
2022-08-21,19.047619047619047,840.0,19.047619047619047
2022-08-24,19.047619047619047,840.0,19.047619047619047
2022-08-24,19.047619047619047,840.0,19.047619047619047
2022-08-27,19.047619047619047,840.0,19.047619047619047
2022-08-27,19.047619047619047,840.0,19.047619047619047
2022-08-30,19.047619047619047,840.0,19.047619047619047
2022-08-30,19.047619047619047,840.0,19.047619047619047
2022-09-02,18.80952380952381,840.0,19.023809523809526
